"merge_col","threshability","floret_score_mean","rachis_breaks_mean"
"WGN38C21_STP_2017_1",50,1,1
"WGN38C22_STP_2017_1",NA,NA,NA
"WGN38C23_STP_2017_1",93,0,1
"WGN38C24_STP_2017_1",98,0,1
"WGN38C25_STP_2017_1",91,2,1
"WGN38C26_STP_2017_1",97,0,1
"WGN38C27_STP_2017_1",100,0,1
"WGN38C28_STP_2017_1",100,0,1
"WGN38C29_STP_2017_1",99,1,1
"WGN38C30_STP_2017_1",97,3,1
"WGN38C31_STP_2017_1",99,0,1
"WGN38C32_STP_2017_1",99,1,1
"WGN38C33_STP_2017_1",99,2,1
"WGN38C34_STP_2017_1",92,0,1
"WGN38C35_STP_2017_1",99,0,1
"WGN38C37_STP_2017_1",75,1,1
"WGN38C38_STP_2017_1",97,1,1
"WGN38C39_STP_2017_1",92,1,1
"WGN38C40_STP_2017_1",95,0,1
"WGN38C41_STP_2017_1",90,0,1
"WGN38C42_STP_2017_1",70,1,1
"WGN38C43_STP_2017_1",95,0,1
"WGN38C44_STP_2017_1",99,0,1
"WGN38C45_STP_2017_1",35,0,0
"WGN38C46_STP_2017_1",97,0,1
"WGN38C47_STP_2017_1",80,0,2
"WGN38C48_STP_2017_1",99,1,1
"WGN38C49_STP_2017_1",96,0,1
"WGN38C50_STP_2017_1",99,0,1
"WGN38C51_STP_2017_1",85,1,0
"WGN38C52_STP_2017_1",80,1,1
"WGN38C53_STP_2017_1",98,0,0
"WGN38C54_STP_2017_1",95,0,1
"WGN38C55_STP_2017_1",98,1,1
"WGN38C56_STP_2017_1",65,1,0
"WGN38C57_STP_2017_1",97,0,1
"WGN38C58_STP_2017_1",99,0,1
"WGN38C59_STP_2017_1",97,1,1
"WGN38C60_STP_2017_1",85,0,1
"WGN38C61_STP_2017_1",98,0,1
"WGN38C62_STP_2017_1",70,0,1
"WGN38C63_STP_2017_1",80,2,2
"WGN38C64_STP_2017_1",97,1,1
"WGN38C65_STP_2017_1",97,0,0
"WGN38C66_STP_2017_1",75,0,0
"WGN38C67_STP_2017_1",75,1,1
"WGN38C68_STP_2017_1",85,1,0
"WGN38C69_STP_2017_1",97,1,1
"WGN38C70_STP_2017_1",98,0,0
"WGN38C71_STP_2017_1",100,0,1
"WGN38C72_STP_2017_1",96,0,2
"WGN38C75_STP_2017_1",96,2,0
"WGN38C76_STP_2017_1",92,0,0
"WGN38C77_STP_2017_1",97,0,1
"WGN38C78_STP_2017_1",98,0,1
"WGN38C79_STP_2017_1",90,0,0
"WGN38C80_STP_2017_1",70,1,0
"WGN38D01_STP_2017_1",99,1,1
"WGN38D02_STP_2017_1",99,0,1
"WGN38D03_STP_2017_1",94,0,1
"WGN38D04_STP_2017_1",99,0,0
"WGN38D05_STP_2017_1",70,1,1
"WGN38D06_STP_2017_1",90,0,1
"WGN38D07_STP_2017_1",85,1,1
"WGN38D08_STP_2017_1",75,0,0
"WGN38D09_STP_2017_1",50,0,3
"WGN38D10_STP_2017_1",75,0,3
"WGN38D11_STP_2017_1",90,1,2
"WGN38D12_STP_2017_1",90,0,0
"WGN38D13_STP_2017_1",65,1,2
"WGN38D14_STP_2017_1",98,0,1
"WGN38D15_STP_2017_1",90,1,1
"WGN38D16_STP_2017_1",98,1,0
"WGN38D17_STP_2017_1",97,3,1
"WGN38D18_STP_2017_1",80,1,1
"WGN38D19_STP_2017_1",95,0,1
"WGN38D20_STP_2017_1",70,0,1
"WGN38D21_STP_2017_1",98,0,0
"WGN38D22_STP_2017_1",80,0,0
"WGN38D23_STP_2017_1",96,0,1
"WGN38D24_STP_2017_1",95,3,1
"WGN38D25_STP_2017_1",85,2,1
"WGN38D26_STP_2017_1",98,2,1
"WGN38D27_STP_2017_1",96,0,1
"WGN38D28_STP_2017_1",85,1,1
"WGN38D29_STP_2017_1",70,0,0
"WGN38D30_STP_2017_1",90,0,0
